number,name,status
PEP 387,Backwards Compatibility Policy,PEP 387
PEP 1,PEP Purpose and Guidelines,PEP 1
PEP 12,Sample reStructuredText PEP Template,PEP 12
PEP 581,Using GitHub Issues for CPython,PEP 581
PEP 20,The Zen of Python,PEP 20
PEP 247,API for Cryptographic Hash Functions,PEP 247
PEP 676,PEP Infrastructure Process,PEP 676
PEP 13,Python Language Governance,PEP 13
PEP 609,Python Packaging Authority (PyPA) Governance,PEP 609
PEP 101,Doing Python Releases 101,PEP 101
PEP 6,Bug Fix Releases,PEP 6
PEP 7,Style Guide for C Code,PEP 7
PEP 10,Voting Guidelines,PEP 10
PEP 11,CPython platform support,PEP 11
PEP 5,Guidelines for Language Evolution,PEP 5
PEP 8,Style Guide for Python Code,PEP 8
PEP 8015,Organization of the Python community,PEP 8015
PEP 8014,The Commons Governance Model,PEP 8014
PEP 8013,The External Council Governance Model,PEP 8013
PEP 8011,Python Governance Model Lead by Trio of Pythonistas,PEP 8011
PEP 3152,Cofunctions,PEP 3152
PEP 8010,The Technical Leader Governance Model,PEP 8010
PEP 8012,The Community Governance Model,PEP 8012
PEP 3145,Asynchronous I/O For subprocess.Popen,PEP 3145
PEP 3146,Merging Unladen Swallow into CPython,PEP 3146
PEP 3153,Asynchronous IO support,PEP 3153
PEP 3136,Labeled break and continue,PEP 3136
PEP 3139,Cleaning out sys and the “interpreter” module,PEP 3139
PEP 3140,"str(container) should call str(item), not repr(item)",PEP 3140
PEP 3142,Add a “while” clause to generator expressions,PEP 3142
PEP 3130,Access to Current Module/Class/Function,PEP 3130
PEP 3133,Introducing Roles,PEP 3133
PEP 3128,BList: A Faster List-like Type,PEP 3128
PEP 3126,Remove Implicit String Concatenation,PEP 3126
PEP 3122,Delineation of the main module,PEP 3122
PEP 3125,Remove Backslash Continuation,PEP 3125
PEP 3001,Procedure for reviewing and improving standard library modules,PEP 3001
PEP 3103,A Switch/Case Statement,PEP 3103
PEP 3117,Postfix type declarations,PEP 3117
PEP 754,IEEE 754 Floating Point Special Values,PEP 754
PEP 666,Reject Foolish Indentation,PEP 666
PEP 665,A file format to list Python dependencies for reproducibility of an application,PEP 665
PEP 677,Callable Type Syntax,PEP 677
PEP 690,Lazy Imports,PEP 690
PEP 650,Specifying Installer Requirements for Python Projects,PEP 650
PEP 651,Robust Stack Overflow Handling,PEP 651
PEP 663,"Standardizing Enum str(), repr(), and format() behaviors",PEP 663
PEP 662,Editable installs via virtual wheels,PEP 662
PEP 645,Allow writing optional types as,PEP 645
PEP 648,Extensible customizations of the interpreter at startup,PEP 648
PEP 640,Unused variable syntax,PEP 640
PEP 641,Using an underscore in the version portion of Python 3.10 compatibility tags,PEP 641
PEP 642,Explicit Pattern Syntax for Structural Pattern Matching,PEP 642
PEP 637,Support for indexing with keyword arguments,PEP 637
PEP 631,Dependency specification in pyproject.toml based on PEP 508,PEP 631
PEP 608,Coordinated Python release,PEP 608
PEP 611,The one million limit,PEP 611
PEP 633,Dependency specification in pyproject.toml using an exploded TOML table,PEP 633
PEP 620,Hide implementation details from the C API,PEP 620
PEP 622,Structural Pattern Matching,PEP 622
PEP 601,Forbid return/break/continue breaking out of finally,PEP 601
PEP 606,Python Compatibility Version,PEP 606
PEP 599,The manylinux2014 Platform Tag,PEP 599
PEP 605,A rolling feature release stream for CPython,PEP 605
PEP 598,Introducing incremental feature releases,PEP 598
PEP 595,Improving bugs.python.org,PEP 595
PEP 577,Augmented Assignment Expressions,PEP 577
PEP 580,The C call protocol,PEP 580
PEP 575,Unifying function/method classes,PEP 575
PEP 583,A Concurrency Memory Model for Python,PEP 583
PEP 576,Rationalize Built-in function classes,PEP 576
PEP 555,Context-local variables (contextvars),PEP 555
PEP 571,The manylinux2010 Platform Tag,PEP 571
PEP 559,Built-in noop(),PEP 559
PEP 549,Instance Descriptors,PEP 549
PEP 550,Execution Context,PEP 550
PEP 551,Security transparency in the Python runtime,PEP 551
PEP 546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,PEP 546
PEP 548,More Flexible Loop Control,PEP 548
PEP 543,A Unified TLS API for Python,PEP 543
PEP 531,Existence checking operators,PEP 531
PEP 542,Dot Notation Assignment In Function Header,PEP 542
PEP 521,Managing global context via ‘with’ blocks in generators and coroutines,PEP 521
PEP 511,API for code transformers,PEP 511
PEP 513,A Platform Tag for Portable Linux Built Distributions,PEP 513
PEP 516,Build system abstraction for pip/conda etc,PEP 516
PEP 522,Allow BlockingIOError in security sensitive APIs,PEP 522
PEP 509,Add a private version to dict,PEP 509
PEP 500,A protocol for delegating datetime methods to their tzinfo implementations,PEP 500
PEP 502,String Interpolation - Extended Discussion,PEP 502
PEP 504,Using the System RNG by default,PEP 504
PEP 507,Migrate CPython to Git and GitLab,PEP 507
PEP 510,Specialize functions with guards,PEP 510
PEP 497,A standard mechanism for backward compatibility,PEP 497
PEP 490,Chain exceptions at C level,PEP 490
PEP 496,Environment Markers,PEP 496
PEP 474,Creating forge.python.org,PEP 474
PEP 481,"Migrate CPython to Git, Github, and Phabricator",PEP 481
PEP 455,Adding a key-transforming dictionary to collections,PEP 455
PEP 459,Standard Metadata Extensions for Python Software Packages,PEP 459
PEP 472,Support for indexing with keyword arguments,PEP 472
PEP 437,"A DSL for specifying signatures, annotations and argument converters",PEP 437
PEP 433,Easier suppression of file descriptor inheritance,PEP 433
PEP 432,Restructuring the CPython startup sequence,PEP 432
PEP 473,Adding structured data to built-in exceptions,PEP 473
PEP 439,Inclusion of implicit pip bootstrap in Python installation,PEP 439
PEP 431,Time zone support improvements,PEP 431
PEP 463,Exception-catching expressions,PEP 463
PEP 460,Add binary interpolation and formatting,PEP 460
PEP 462,Core development workflow automation for CPython,PEP 462
PEP 422,Simpler customisation of class creation,PEP 422
PEP 469,Migration of dict iteration code to Python 3,PEP 469
PEP 426,Metadata for Python Software Packages 2.0,PEP 426
PEP 408,Standard library __preview__ package,PEP 408
PEP 396,Module Version Numbers,PEP 396
PEP 410,Use decimal.Decimal type for timestamps,PEP 410
PEP 413,Faster evolution of the Python Standard Library,PEP 413
PEP 402,Simplified Package Layout and Partitioning,PEP 402
PEP 401,BDFL Retirement,PEP 401
PEP 416,Add a frozendict builtin type,PEP 416
PEP 406,Improved Encapsulation of Import State,PEP 406
PEP 395,Qualified Names for Modules,PEP 395
PEP 390,Static metadata for Distutils,PEP 390
PEP 382,Namespace Packages,PEP 382
PEP 411,Provisional packages in the Python standard library,PEP 411
PEP 386,Changing the version comparison module in Distutils,PEP 386
PEP 377,Allow __enter__() methods to skip the statement body,PEP 377
PEP 369,Post import hooks,PEP 369
PEP 379,Adding an Assignment Expression,PEP 379
PEP 381,Mirroring infrastructure for PyPI,PEP 381
PEP 365,Adding the pkg_resources module,PEP 365
PEP 367,New Super,PEP 367
PEP 354,Enumerations in Python,PEP 354
PEP 364,Transitioning to the Py3K Standard Library,PEP 364
PEP 363,Syntax For Dynamic Attribute Access,PEP 363
PEP 355,Path - Object oriented filesystem paths,PEP 355
PEP 359,The “make” Statement,PEP 359
PEP 350,Codetags,PEP 350
PEP 351,The freeze protocol,PEP 351
PEP 348,Exception Reorganization for Python 3.0,PEP 348
PEP 346,User Defined (”,PEP 346
